,Suburbs,Collection_Date
1,Acacia Ridge,29-Aug-22
4,Algester,11-Jul-22
27,Calamvale,11-Jul-22
127,Parkinson,11-Jul-22
11,Auchenflower,18-Jul-22
105,Milton,18-Jul-22
149,St Lucia,18-Jul-22
158,Taringa,18-Jul-22
6,Anstead,25-Jul-22
16,Bellbowrie,25-Jul-22
39,Chuwar,25-Jul-22
84,Karana Downs,25-Jul-22
91,Kholo,25-Jul-22
93,Lake Manchester,25-Jul-22
107,Moggill,25-Jul-22
110,Mt Crosby,25-Jul-22
129,Pinjarra Hills,25-Jul-22
24,Brookfield,1-Aug-22
88,Kenmore,1-Aug-22
89,Kenmore Hills,1-Aug-22
131,Pullenvale,1-Aug-22
165,Upper Brookfield,1-Aug-22
35,Chapel Hill,8-Aug-22
58,Fig Tree Pocket,8-Aug-22
79,Indooroopilly,8-Aug-22
164,Toowong,8-Aug-22
80,Jamboree Heights,15-Aug-22
81,Jindalee,15-Aug-22
104,Middle Park,15-Aug-22
113,Mt Ommaney,15-Aug-22
135,Riverhills,15-Aug-22
146,Sinnamon Park,15-Aug-22
173,Westlake,15-Aug-22
36,Chelmer,22-Aug-22
43,Corinda,22-Aug-22
65,Graceville,22-Aug-22
124,Oxley,22-Aug-22
143,Seventeen Mile Rocks,22-Aug-22
144,Sherwood,22-Aug-22
154,Sumner,22-Aug-22
7,Archerfield,29-Aug-22
41,Coopers Plains,29-Aug-22
71,Heathwood,29-Aug-22
94,Larapinta,29-Aug-22
98,Macgregor,29-Aug-22
126,Pallara,29-Aug-22
136,Robertson,29-Aug-22
174,Willawong,29-Aug-22
44,Darra,5-Sep-22
52,Ellen Grove,5-Sep-22
60,Forest Lake,5-Sep-22
134,Richlands,5-Sep-22
169,Wacol,5-Sep-22
46,Doolandella,12-Sep-22
48,Durack,12-Sep-22
78,Inala,12-Sep-22
22,Brighton,3-Oct-22
45,Deagon,3-Oct-22
59,Fitzgibbon,3-Oct-22
141,Sandgate,3-Oct-22
157,Taigum,3-Oct-22
12,Bald Hills,10-Oct-22
20,Bracken Ridge,10-Oct-22
145,Shorncliffe,10-Oct-22
18,Boondall,17-Oct-22
121,Nudgee,17-Oct-22
122,Nudgee Beach,17-Oct-22
130,Pinkenba,17-Oct-22
168,Virginia,17-Oct-22
184,Zillmere,17-Oct-22
2,Albion,24-Oct-22
14,Banyo,24-Oct-22
63,Geebung,24-Oct-22
73,Hendra,24-Oct-22
82,Kalinga,24-Oct-22
120,Northgate,24-Oct-22
179,Wooloowin,24-Oct-22
8,Ascot,31-Oct-22
40,Clayfield,31-Oct-22
69,Hamilton,31-Oct-22
64,Gordon Park,7-Nov-22
96,Lutwyche,7-Nov-22
123,Nundah,7-Nov-22
171,Wavell Heights,7-Nov-22
86,Kedron,14-Nov-22
150,Stafford,14-Nov-22
151,Stafford Heights,14-Nov-22
33,Carseldine,21-Nov-22
37,Chermside,21-Nov-22
38,Chermside West,21-Nov-22
10,Aspley,28-Nov-22
21,Bridgeman Downs,28-Nov-22
103,McDowall,28-Nov-22
57,Ferny Grove,5-Dec-22
62,Gaythorne,5-Dec-22
90,Keperra,5-Dec-22
106,Mitchelton,5-Dec-22
166,Upper Kedron,5-Dec-22
23,Brisbane City,16-Jan-23
61,Fortitude Valley,16-Jan-23
116,New Farm,16-Jan-23
118,Newstead,16-Jan-23
148,Spring Hill,16-Jan-23
160,Teneriffe,16-Jan-23
161,Tennyson,16-Jan-23
53,Enoggera,23-Jan-23
54,Enoggera Reservoir,23-Jan-23
117,Newmarket,23-Jan-23
162,The Gap,23-Jan-23
3,Alderley,30-Jan-23
9,Ashgrove,30-Jan-23
66,Grange,30-Jan-23
175,Wilston,30-Jan-23
19,Bowen Hills,6-Feb-23
55,Everton Park,6-Feb-23
74,Herston,6-Feb-23
87,Kelvin Grove,6-Feb-23
176,Windsor,6-Feb-23
15,Bardon,13-Feb-23
125,Paddington,13-Feb-23
128,Petrie Terrace,13-Feb-23
133,Red Hill,13-Feb-23
13,Balmoral,20-Feb-23
25,Bulimba,20-Feb-23
29,Cannon Hill,20-Feb-23
109,Morningside,20-Feb-23
114,Murarrie,20-Feb-23
70,Hawthorne,27-Feb-23
72,Hemmant,27-Feb-23
95,Lota,27-Feb-23
97,Lytton,27-Feb-23
180,Wynnum,27-Feb-23
17,Belmont,6-Mar-23
34,Chandler,6-Mar-23
68,Gumdale,6-Mar-23
100,Manly,6-Mar-23
132,Ransome,6-Mar-23
181,Wynnum West,6-Mar-23
101,Manly West,13-Mar-23
163,Tingalpa,13-Mar-23
170,Wakerley,13-Mar-23
30,Carina,20-Mar-23
31,Carina Heights,20-Mar-23
102,Mansfield,20-Mar-23
28,Camp Hill,27-Mar-23
32,Carindale,27-Mar-23
75,Highgate Hill,17-Apr-23
83,Kangaroo Point,17-Apr-23
147,South Brisbane,17-Apr-23
172,West End,17-Apr-23
5,Annerley,24-Apr-23
49,Dutton Park,24-Apr-23
56,Fairfield,24-Apr-23
182,Yeerongpilly,24-Apr-23
183,Yeronga,24-Apr-23
50,East Brisbane,1-May-23
108,Moorooka,1-May-23
138,Rocklea,1-May-23
178,Woolloongabba,1-May-23
42,Coorparoo,8-May-23
119,Norman Park,8-May-23
142,Seven Hills,8-May-23
67,Greenslopes,15-May-23
76,Holland Park,15-May-23
77,Holland Park West,15-May-23
152,Stones Corner,15-May-23
115,Nathan,22-May-23
140,Salisbury,22-May-23
159,Tarragindi,22-May-23
111,Mt Gravatt,29-May-23
112,Mt Gravatt East,29-May-23
167,Upper Mt Gravatt,29-May-23
26,Burbank,5-Jun-23
51,Eight Mile Plains,5-Jun-23
99,Mackenzie,5-Jun-23
137,Rochedale,5-Jun-23
177,Wishart,5-Jun-23
