Suburbs,Collection_Date,state_rank,state_decile,state_percentile,min_sa1_score,max_sa1_score
Algester,2022-07-11,284,6,56,915.0,1054.0
Calamvale,2022-07-11,410,8,80,1008.0,1126.0
Parkinson,2022-07-11,426,9,83,941.0,1115.0
Auchenflower,2022-07-18,496,10,97,1075.0,1216.0
Milton,2022-07-18,505,10,99,1069.0,1195.0
St Lucia,2022-07-18,472,10,92,1034.0,1178.0
Taringa,2022-07-18,477,10,93,1029.0,1171.0
Bellbowrie,2022-07-25,479,10,94,1030.0,1156.0
Lake Manchester,2022-07-25,,,,,
Kholo,2022-07-25,,,,,
Kholo,2022-07-25,461,9,90,1009.0,1144.0
Anstead,2022-07-25,512,10,100,1019.0,1201.0
Chuwar,2022-07-25,358,7,70,960.0,1102.0
Pinjarra Hills,2022-07-25,512,10,100,1019.0,1201.0
Moggill,2022-07-25,479,10,94,1030.0,1156.0
Karana Downs,2022-07-25,461,9,90,1009.0,1144.0
Mt Crosby,2022-07-25,461,9,90,1009.0,1144.0
Pullenvale,2022-08-01,512,10,100,1019.0,1201.0
Upper Brookfield,2022-08-01,510,10,100,1044.0,1190.0
Kenmore Hills,2022-08-01,510,10,100,1044.0,1190.0
Brookfield,2022-08-01,510,10,100,1044.0,1190.0
Kenmore,2022-08-01,489,10,96,1048.0,1214.0
Chapel Hill,2022-08-08,506,10,99,1070.0,1190.0
Fig Tree Pocket,2022-08-08,513,10,100,1136.0,1211.0
Indooroopilly,2022-08-08,474,10,93,1017.0,1185.0
Toowong,2022-08-08,485,10,95,1054.0,1183.0
Mt Ommaney,2022-08-15,470,10,92,1040.0,1166.0
Jamboree Heights,2022-08-15,428,9,84,1008.0,1138.0
Jindalee,2022-08-15,470,10,92,1040.0,1166.0
Middle Park,2022-08-15,428,9,84,1008.0,1138.0
Riverhills,2022-08-15,394,8,77,1006.0,1089.0
Sinnamon Park,2022-08-15,482,10,94,896.0,1190.0
Westlake,2022-08-15,492,10,96,1081.0,1151.0
Seventeen Mile Rocks,2022-08-22,482,10,94,896.0,1190.0
Oxley,2022-08-22,399,8,78,975.0,1102.0
Graceville,2022-08-22,508,10,99,1124.0,1180.0
Sherwood,2022-08-22,475,10,93,958.0,1160.0
Chelmer,2022-08-22,508,10,99,1124.0,1180.0
Corinda,2022-08-22,452,9,88,998.0,1166.0
Sumner,2022-08-22,185,4,36,894.0,1069.0
Willawong,2022-08-29,418,9,82,931.0,1108.0
Acacia Ridge,2022-08-29,53,2,11,659.0,984.0
Robertson,2022-08-29,369,8,72,975.0,1118.0
Pallara,2022-08-29,418,9,82,931.0,1108.0
Macgregor,2022-08-29,324,7,64,983.0,1069.0
Larapinta,2022-08-29,418,9,82,931.0,1108.0
Heathwood,2022-08-29,418,9,82,931.0,1108.0
Coopers Plains,2022-08-29,229,5,45,878.0,1024.0
Archerfield,2022-08-29,53,2,11,659.0,984.0
Darra,2022-09-05,185,4,36,894.0,1069.0
Ellen Grove,2022-09-05,10,1,2,689.0,944.0
Forest Lake,2022-09-05,310,7,61,931.0,1119.0
Richlands,2022-09-05,12,1,3,572.0,954.0
Wacol,2022-09-05,10,1,2,689.0,944.0
Durack,2022-09-12,128,3,25,818.0,1040.0
Inala,2022-09-12,12,1,3,572.0,954.0
